JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,Drug Resist Updat,1368-7646,1532-2084,21.7,Q1,1.0
JAMA neurology,JAMA Neurol,2168-6149,2168-6157,21.3,Q1,1.0
Advanced fiber materials,Adv Fiber Mater,2524-7921,2524-793X,21.3,Q1,1.0
International journal of extreme manufacturing,Int J Extrem Manuf,2631-8644,2631-7990,21.3,Q1,1.0
Intensive care medicine,Intensive Care Med,0342-4642,1432-1238,21.2,Q1,1.0
"Applied catalysis. B, Environmental",Appl Catal B,0926-3373,,21.1,Q1,1.0
Science bulletin,Sci Bull (Beijing),2095-9273,2095-9281,21.1,Q1,1.0
The European respiratory journal,Eur Respir J,0903-1936,1399-3003,21.0,Q1,1.0
Trends in plant science,Trends Plant Sci,1360-1385,1878-4372,20.8,Q1,1.0
The American journal of bioethics : AJOB,Am J Bioeth,1526-5161,1536-0075,20.8,Q1,
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J Thorac Oncol,1556-0864,1556-1380,20.8,Q1,1.0
Annual review of public health,Annu Rev Public Health,0163-7525,1545-2093,20.7,Q1,1.0
Annals of the rheumatic diseases,Ann Rheum Dis,0003-4967,1468-2060,20.6,Q1,1.0
Cell stem cell,Cell Stem Cell,1934-5909,1875-9777,20.4,Q1,1.0
Environmental chemistry letters,Environ Chem Lett,1610-3653,1610-3661,20.4,Q1,2.0
Nature chemistry,Nat Chem,1755-4330,1755-4349,20.2,Q1,1.0
Energy storage materials,Energy Storage Mater,2405-8297,2405-8289,20.2,Q1,1.0
JAMA oncology,JAMA Oncol,2374-2437,2374-2445,20.1,Q1,1.0
Nature neuroscience,Nat Neurosci,1097-6256,1546-1726,20.0,Q1,1.0
Trends in pharmacological sciences,Trends Pharmacol Sci,0165-6147,1873-3735,19.9,Q1,1.0
Psychological bulletin,Psychol Bull,0033-2909,1939-1455,19.8,Q1,
Cellular & molecular immunology,Cell Mol Immunol,1672-7681,2042-0226,19.8,Q1,1.0
American journal of respiratory and critical care medicine,Am J Respir Crit Care Med,1073-449X,1535-4970,19.4,Q1,1.0
Advances in colloid and interface science,Adv Colloid Interface Sci,0001-8686,1873-3727,19.3,Q1,1.0
Clinical microbiology reviews,Clin Microbiol Rev,0893-8512,1098-6618,19.3,Q1,1.0
Annual review of physiology,Annu Rev Physiol,0066-4278,1545-1585,19.1,Q1,1.0
Nature cell biology,Nat Cell Biol,1465-7392,1476-4679,19.1,Q1,1.0
Advanced functional materials,Adv Funct Mater,1616-301X,1616-3028,19.0,Q1,1.0
Annual review of marine science,Ann Rev Mar Sci,1941-1405,1941-0611,18.9,Q1,1.0
International journal of machine tools & manufacture,Int J Mach Tools Manuf,0890-6955,1879-2170,18.8,Q1,1.0
Cell host & microbe,Cell Host Microbe,1931-3128,1934-6069,18.7,Q1,1.0
IEEE transactions on pattern analysis and machine intelligence,IEEE Trans Pattern Anal Mach Intell,0162-8828,1939-3539,18.6,Q1,1.0
Nature physics,Nat Phys,1745-2473,,18.4,Q1,1.0
Computational visual media,Comput Vis Media (Beijing),2096-0433,2096-0662,18.3,Q1,2.0
Trends in cell biology,Trends Cell Biol,0962-8924,1879-3088,18.1,Q1,1.0
JAMA pediatrics,JAMA Pediatr,2168-6203,2168-6211,18.0,Q1,1.0
Progress in particle and nuclear physics,Prog Part Nucl Phys,0146-6410,1873-2224,17.9,Q1,1.0
Accounts of chemical research,Acc Chem Res,0001-4842,1520-4898,17.7,Q1,1.0
Advanced drug delivery reviews,Adv Drug Deliv Rev,0169-409X,1872-8294,17.6,Q1,1.0
Psychological science in the public interest : a journal of the American Psychological Society,Psychol Sci Public Interest,1529-1006,2160-0031,17.6,Q1,
Trends in cancer,Trends Cancer,2405-8033,2405-8025,17.5,Q1,
Matter,Matter,2590-2393,2590-2385,17.5,Q1,1.0
Psychotherapy and psychosomatics,Psychother Psychosom,0033-3190,1423-0348,17.4,Q1,1.0
MMWR. Morbidity and mortality weekly report,MMWR Morb Mortal Wkly Rep,0149-2195,1545-861X,17.3,Q1,1.0
Pharmacological reviews,Pharmacol Rev,0031-6997,1521-0081,17.3,Q1,1.0
Trends in ecology & evolution,Trends Ecol Evol,0169-5347,1872-8383,17.3,Q1,1.0
Trends in cognitive sciences,Trends Cogn Sci,1364-6613,1879-307X,17.2,Q1,
IEEE journal on selected areas in communications : a publication of the IEEE Communications Society,IEEE J Sel Areas Commun,0733-8716,1558-0008,17.2,Q1,1.0
Studies in mycology,Stud Mycol,0166-0616,1872-9797,17.1,Q1,1.0
JAMA psychiatry,JAMA Psychiatry,2168-622X,2168-6238,17.1,Q1,1.0
National science review,Natl Sci Rev,2095-5138,2053-714X,17.1,Q1,1.0
Nano energy,Nano Energy,2211-2855,2211-3282,17.1,Q1,1.0
Clinical and molecular hepatology,Clin Mol Hepatol,2287-2728,2287-285X,16.9,Q1,1.0
Annual review of entomology,Annu Rev Entomol,0066-4170,1545-4487,16.7,Q1,1.0
Diabetes care,Diabetes Care,0149-5992,1935-5548,16.6,Q1,1.0
Molecular cell,Mol Cell,1097-2765,1097-4164,16.6,Q1,1.0
Annual review of clinical psychology,Annu Rev Clin Psychol,1548-5943,1548-5951,16.5,Q1,
The Academy of Management annals,Acad Manag Ann,1941-6520,1941-6067,16.5,Q1,1.0
Journal of the National Comprehensive Cancer Network : JNCCN,J Natl Compr Canc Netw,1540-1405,1540-1413,16.4,Q1,
IEEE geoscience and remote sensing magazine,IEEE Geosci Remote Sens Mag,2473-2397,2168-6831,16.4,Q1,1.0
Trends in genetics : TIG,Trends Genet,0168-9525,,16.3,Q1,1.0
Renewable & sustainable energy reviews,Renew Sustain Energy Rev,1364-0321,1879-0690,16.3,Q1,1.0
British journal of sports medicine,Br J Sports Med,0306-3674,1473-0480,16.2,Q1,1.0
Circulation research,Circ Res,0009-7330,1524-4571,16.2,Q1,1.0
Human reproduction update,Hum Reprod Update,1355-4786,1460-2369,16.1,Q1,1.0
Nature geoscience,Nat Geosci,1752-0894,1752-0908,16.1,Q1,1.0
Applied mechanics reviews,Appl Mech Rev,0003-6900,2379-0407,16.1,Q1,1.0
Nature protocols,Nat Protoc,1754-2189,1750-2799,16.0,Q1,2.0
ACS nano,ACS Nano,1936-0851,1936-086X,16.0,Q1,1.0
Annual review of environment and resources,Annu Rev Environ Resour,1543-5938,1545-2050,16.0,Q1,1.0
"Hepatology (Baltimore, Md.)",Hepatology,0270-9139,1527-3350,15.8,Q1,1.0
Seminars in cancer biology,Semin Cancer Biol,1044-579X,1096-3650,15.7,Q1,2.0
Periodontology 2000,Periodontol 2000,0906-6713,1600-0757,15.7,Q1,1.0
Journal of the American Chemical Society,J Am Chem Soc,0002-7863,1520-5126,15.6,Q1,1.0
An international journal on information fusion,Inf Fusion,1566-2535,1872-6305,15.5,Q1,1.0
The Lancet. Child & adolescent health,Lancet Child Adolesc Health,2352-4642,2352-4650,15.5,Q1,1.0
International materials reviews,Int Mater Rev,0950-6608,1743-2804,15.5,Q1,1.0
BMEmat,BMEmat,2751-7438,2751-7446,15.5,Q1,
Cell death and differentiation,Cell Death Differ,1350-9047,1476-5403,15.4,Q1,1.0
Trends in food science & technology,Trends Food Sci Technol,0924-2244,1879-3053,15.4,Q1,1.0
"One earth (Cambridge, Mass.)",One Earth,2590-3330,2590-3322,15.3,Q1,1.0
Annals of internal medicine,Ann Intern Med,0003-4819,1539-3704,15.2,Q1,1.0
Radiology,Radiology,0033-8419,1527-1315,15.2,Q1,1.0
JACC. Cardiovascular imaging,JACC Cardiovasc Imaging,1936-878X,1876-7591,15.2,Q1,1.0
Trends in neurosciences,Trends Neurosci,0166-2236,1878-108X,15.1,Q1,1.0
Neuron,Neuron,0896-6273,1097-4199,15.0,Q1,1.0
Bone research,Bone Res,2095-4700,2095-6231,15.0,Q1,1.0
Trends in biotechnology,Trends Biotechnol,0167-7799,1879-3096,14.9,Q1,1.0
Progress in lipid research,Prog Lipid Res,0163-7827,1873-2194,14.9,Q1,1.0
Trends in microbiology,Trends Microbiol,0966-842X,1878-4380,14.9,Q1,1.0
JAMA surgery,JAMA Surg,2168-6254,2168-6262,14.9,Q1,1.0
Journal of energy chemistry,J Energy Chem,2095-4956,2096-885X,14.9,Q1,1.0
International journal of transgender health,Int J Transgend Health,2689-5269,2689-5277,14.8,Q1,
The American journal of psychiatry,Am J Psychiatry,0002-953X,1535-7228,14.7,Q1,1.0
Progress in retinal and eye research,Prog Retin Eye Res,1350-9462,1873-1635,14.7,Q1,1.0
Endocrine pathology,Endocr Pathol,1046-3976,1559-0097,14.7,Q1,1.0
Nature reviews. Urology,Nat Rev Urol,1759-4812,1759-4820,14.6,Q1,1.0
Science translational medicine,Sci Transl Med,1946-6234,1946-6242,14.6,Q1,1.0
Acta pharmaceutica Sinica. B,Acta Pharm Sin B,2211-3835,2211-3843,14.6,Q1,1.0
Drugs,Drugs,0012-6667,1179-1950,14.4,Q1,1.0
Autophagy,Autophagy,1554-8627,1554-8635,14.3,Q1,1.0
Physics of life reviews,Phys Life Rev,1571-0645,1873-1457,14.3,Q1,1.0
Journal of materials science & technology,J Mater Sci Technol,1005-0302,1941-1162,14.3,Q1,1.0
"Qualitative psychology (Washington, D.C.)",Qual Psychol,2326-3601,2326-3598,14.3,Q1,
"Composites. Part B, Engineering",Compos B Eng,1359-8368,1879-1069,14.2,Q1,1.0
Journal of manufacturing systems,J Manuf Syst,0278-6125,1878-6642,14.2,Q1,1.0
Energy economics,Energy Econ,0140-9883,1873-6181,14.2,Q1,
JAMA cardiology,JAMA Cardiol,2380-6583,2380-6591,14.1,Q1,1.0
Academy of management review. Academy of Management,Acad Manage Rev,0363-7425,1930-3807,13.9,Q1,1.0
Trends in immunology,Trends Immunol,1471-4906,1471-4981,13.9,Q1,2.0
Artificial intelligence review,Artif Intell Rev,0269-2821,1573-7462,13.9,Q1,1.0
Trends in molecular medicine,Trends Mol Med,1471-4914,1471-499X,13.8,Q1,1.0
Advances in physics,Adv Phys,0001-8732,1460-6976,13.8,Q1,1.0
The Behavioral and brain sciences,Behav Brain Sci,0140-525X,1469-1825,13.7,Q1,
IEEE transactions on image processing : a publication of the IEEE Signal Processing Society,IEEE Trans Image Process,1057-7149,1941-0042,13.7,Q1,1.0
Nature chemical biology,Nat Chem Biol,1552-4450,1552-4469,13.7,Q1,1.0
Annual review of biophysics,Annu Rev Biophys,1936-122X,1936-1238,13.7,Q1,1.0
IEEE journal of selected topics in signal processing,IEEE J Sel Top Signal Process,1932-4553,1941-0484,13.7,Q1,2.0
International journal of mining science and technology,Int J Min Sci Technol,2095-2686,,13.7,Q1,1.0
The Journal of clinical investigation,J Clin Invest,0021-9738,1558-8238,13.6,Q1,1.0
Interdisciplinary medicine,Interdiscip Med,2832-6237,2832-6245,13.6,Q1,
Wu li hua xue xue bao = Acta physico-chimica sinica,Wu Li Hua Xue Xue Bao,1000-6818,,13.5,Q1,2.0
Biochar,Biochar,2524-7972,2524-7867,13.5,Q1,1.0
Annual review of nutrition,Annu Rev Nutr,0199-9885,1545-4312,13.4,Q1,1.0
Leukemia,Leukemia,0887-6924,1476-5551,13.4,Q1,1.0
Neuro-oncology,Neuro Oncol,1522-8517,1523-5866,13.4,Q1,1.0
Current opinion in solid state & materials science,Curr Opin Solid State Mater Sci,1359-0286,1879-0348,13.4,Q1,2.0
Advances in methods and practices in psychological science,Adv Methods Pract Psychol Sci,2515-2459,2515-2467,13.4,Q1,
Cardiovascular research,Cardiovasc Res,0008-6363,1755-3245,13.3,Q1,1.0
Technological forecasting and social change,Technol Forecast Soc Change,0040-1625,,13.3,Q1,1.0
Business strategy and the environment,Bus Strategy Environ,0964-4733,1099-0836,13.3,Q1,1.0
Annual review of neuroscience,Annu Rev Neurosci,0147-006X,1545-4126,13.2,Q1,1.0
"Chemical engineering journal (Lausanne, Switzerland : 1996)",Chem Eng J,1385-8947,1873-3212,13.2,Q1,1.0
Critical reviews in environmental science and technology,Crit Rev Environ Sci Technol,1064-3389,,13.2,Q1,1.0
Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol,0362-1642,1545-4304,13.1,Q1,1.0
Nucleic acids research,Nucleic Acids Res,0305-1048,1362-4962,13.1,Q1,2.0
Cement & concrete composites,Cem Concr Compos,0958-9465,1873-393X,13.1,Q1,1.0
Cement and concrete research,Cem Concr Res,0008-8846,1873-3948,13.1,Q1,1.0
Annual review of earth and planetary sciences,Annu Rev Earth Planet Sci,0084-6597,,13.0,Q1,1.0
Journal of advanced research,J Adv Res,2090-1232,2090-1224,13.0,Q1,1.0
Biomaterials,Biomaterials,0142-9612,1878-5905,12.9,Q1,1.0
Experimental & molecular medicine,Exp Mol Med,1226-3613,2092-6413,12.9,Q1,1.0
Endoscopy,Endoscopy,0013-726X,1438-8812,12.8,Q1,1.0
Protein & cell,Protein Cell,1674-800X,1674-8018,12.8,Q1,1.0
Annual review of chemical and biomolecular engineering,Annu Rev Chem Biomol Eng,1947-5438,1947-5446,12.8,Q1,1.0
International journal of plasticity,Int J Plast,0749-6419,1879-2154,12.8,Q1,1.0
The quarterly journal of economics,Q J Econ,0033-5533,1531-4650,12.7,Q1,
Computer science review,Comput Sci Rev,1574-0137,1876-7745,12.7,Q1,1.0
Kidney international,Kidney Int,0085-2538,1523-1755,12.6,Q1,1.0
Trends in endocrinology and metabolism: TEM,Trends Endocrinol Metab,1043-2760,1879-3061,12.6,Q1,1.0
Pharmacology & therapeutics,Pharmacol Ther,0163-7258,1879-016X,12.5,Q1,1.0
Biotechnology advances,Biotechnol Adv,0734-9750,1873-1899,12.5,Q1,1.0
Carbohydrate polymers,Carbohydr Polym,0144-8617,1879-1344,12.5,Q1,1.0
Progress in quantum electronics,Prog Quantum Electron,0079-6727,1873-1627,12.5,Q1,2.0
Water research,Water Res,0043-1354,1879-2448,12.4,Q1,1.0
Ageing research reviews,Ageing Res Rev,1568-1637,1872-9649,12.4,Q1,1.0
Annual review of food science and technology,Annu Rev Food Sci Technol,1941-1413,1941-1421,12.4,Q1,1.0
Food hydrocolloids,Food Hydrocoll,0268-005X,1873-7137,12.4,Q1,1.0
Tourism management,Tour Manag,0261-5177,1879-3193,12.4,Q1,1.0
FEMS microbiology reviews,FEMS Microbiol Rev,0168-6445,1574-6976,12.3,Q1,1.0
Clinical psychology review,Clin Psychol Rev,0272-7358,1873-7811,12.2,Q1,
International journal of oral science,Int J Oral Sci,1674-2818,2049-3169,12.2,Q1,1.0
ISPRS journal of photogrammetry and remote sensing : official publication of the International Society for Photogrammetry and Remote Sensing (ISPRS),ISPRS J Photogramm Remote Sens,0924-2716,1872-8235,12.2,Q1,1.0
Journal of biomedical science,J Biomed Sci,1021-7770,1423-0127,12.1,Q1,1.0
"Small (Weinheim an der Bergstrasse, Germany)",Small,1613-6810,1613-6829,12.1,Q1,2.0
Archives of computational methods in engineering : state of the art reviews,Arch Comput Methods Eng,1134-3060,1886-1784,12.1,Q1,1.0
Allergy,Allergy,0105-4538,1398-9995,12.0,Q1,1.0
Molecular therapy : the journal of the American Society of Gene Therapy,Mol Ther,1525-0016,1525-0024,12.0,Q1,1.0
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,Clin Gastroenterol Hepatol,1542-3565,1542-7714,12.0,Q1,1.0
Trends in analytical chemistry : TRAC,Trends Analyt Chem,0165-9936,1879-3142,12.0,Q1,1.0
Global change biology,Glob Chang Biol,1354-1013,1365-2486,12.0,Q1,1.0
Journal of financial economics,J financ econ,0304-405X,1879-2774,12.0,Q1,
IEEE reviews in biomedical engineering,IEEE Rev Biomed Eng,1937-3333,1941-1189,12.0,Q1,1.0
IEEE transactions on evolutionary computation : a publication of the IEEE Neural Networks Council,IEEE Trans Evol Comput,1089-778X,1941-0026,12.0,Q1,1.0
Sustainable cities and society,Sustain Cities Soc,2210-6707,2210-6715,12.0,Q1,1.0
The Journal of infection,J Infect,0163-4453,1532-2742,11.9,Q1,2.0
Metabolism: clinical and experimental,Metabolism,0026-0495,1532-8600,11.9,Q1,1.0
Annual review of phytopathology,Annu Rev Phytopathol,0066-4286,1545-2107,11.9,Q1,1.0
"Polymer reviews (Philadelphia, Pa.)",Polym Rev (Phila Pa),1558-3724,1558-3716,11.9,Q1,2.0
IEEE transactions on fuzzy systems : a publication of the IEEE Neural Networks Council,IEEE Trans Fuzzy Syst,1063-6706,1941-0034,11.9,Q1,1.0
Asian journal of pharmaceutical sciences,Asian J Pharm Sci,1818-0876,2221-285X,11.9,Q1,1.0
Industrial chemistry & materials,Ind Chem Mater,2755-2608,2755-2500,11.9,Q1,
Journal of the American Academy of Dermatology,J Am Acad Dermatol,0190-9622,1097-6787,11.8,Q1,1.0
Cytokine & growth factor reviews,Cytokine Growth Factor Rev,1359-6101,1879-0305,11.8,Q1,2.0
Medical image analysis,Med Image Anal,1361-8415,1361-8423,11.8,Q1,1.0
JACC. Heart failure,JACC Heart Fail,2213-1779,2213-1787,11.8,Q1,1.0
Biological reviews of the Cambridge Philosophical Society,Biol Rev Camb Philos Soc,1464-7931,1469-185X,11.7,Q1,1.0
Brain : a journal of neurology,Brain,0006-8950,1460-2156,11.7,Q1,1.0
Wiley interdisciplinary reviews. Data mining and knowledge discovery,Wiley Interdiscip Rev Data Min Knowl Discov,1942-4787,1942-4795,11.7,Q1,3.0
The astrophysical journal. Letters,Astrophys J Lett,2041-8205,2041-8213,11.7,Q1,1.0
The Plant cell,Plant Cell,1040-4651,1532-298X,11.6,Q1,1.0
Medicinal research reviews,Med Res Rev,0198-6325,1098-1128,11.6,Q1,1.0
Carbon,Carbon N Y,0008-6223,,11.6,Q1,2.0
"Engineering (Beijing, China)",Engineering (Beijing),2095-8099,2096-0026,11.6,Q1,2.0
Earth system science data,Earth Syst Sci Data,1866-3508,1866-3516,11.6,Q1,1.0
Journal of Industrial Information Integration,J Ind Inf Integr,2467-964X,2452-414X,11.6,Q1,1.0
Journal of controlled release : official journal of the Controlled Release Society,J Control Release,0168-3659,1873-4995,11.5,Q1,1.0
IEEE wireless communications,IEEE Wirel Commun,1536-1284,1558-0687,11.5,Q1,2.0
Blood cancer discovery,Blood Cancer Discov,2643-3230,2643-3249,11.5,Q1,1.0
Automation in construction,Autom Constr,0926-5805,1872-7891,11.5,Q1,1.0
Annual review of cell and developmental biology,Annu Rev Cell Dev Biol,1081-0706,1530-8995,11.4,Q1,1.0
Evidence-based mental health,Evid Based Ment Health,1362-0347,1468-960X,11.4,Q1,
JACC. Cardiovascular interventions,JACC Cardiovasc Interv,1936-8798,1876-7605,11.4,Q1,1.0
Educational psychologist,Educ Psychol,0046-1520,1532-6985,11.4,Q1,
"Annual review of ecology, evolution, and systematics",Annu Rev Ecol Evol Syst,1543-592X,1545-2069,11.4,Q1,1.0
Robotics and computer-integrated manufacturing,Robot Comput Integr Manuf,0736-5845,1879-2537,11.4,Q1,1.0
Annual review of economics,Annu Rev Econom,1941-1383,1941-1391,11.4,Q1,
Remote sensing of environment,Remote Sens Environ,0034-4257,1879-0704,11.4,Q1,1.0
Clinical reviews in allergy & immunology,Clin Rev Allergy Immunol,1080-0549,1559-0267,11.3,Q1,1.0
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,CMAJ,0820-3946,1488-2329,11.3,Q1,1.0
Journal of hazardous materials,J Hazard Mater,0304-3894,1873-3336,11.3,Q1,1.0
